Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  11
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0  13
5     0   0   0   0   0   0   0   0  14
6     0   0   0   0   0   0   0   0  24
7     0   0   0   0   0   0   0   0  41
8     0   0   0   0   0   0   0   0  86
9     0   0   0   0   0   0   0   0  39
10    0   0   0   0   0   0   0   0  84
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0   0 180   0   0 180
13    0   0   0   0   0 180   0   0 180
14    0   0   0   0   0 180   0   0   0
15    0   0   0   0   0 180   0   0   0
16    0   0   0   0   0 180 153   0   0
17    0   0   0   0   0 153 180   0   0
18    0   0   0   0   0 180 180   0   0
19    0   0   0   0   0 180 180   0   0
20    0   0   0   0   0 180 156   0   0
21    0   0   0   0   0 128 180   0   0
22    0   0   0 180 180 180 180   0   0
23    0   0   0 180 180   0 180   0   0
24    0   0   0 180 180   0 180   0   0
25    0   0   0 180 180   0 180   0   0
26    0   0   0 180 180   0 180   0   0
27    0   0   0 180 109   0 178   0   0
28  180   0 178 180 178   0 180   0   0
29  180   0 180 180 180   0 180   0   0
