Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   7
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0   7
4     0   0   0   0   0   0   0   0  13
5     0   0   0   0   0   0   0   0  16
6     0   0   0   0  20   0   0   0  20
7     0   0   0   0  31   0   0   0  40
8     0   0   0   0  45   0   0   0  59
9     0   0   0   0  79   0   0   0  84
10    0   0   0   0 106   0   0   0 105
11    0   0   0   0 166   0   0   0 166
12    0   0   0 128 128   0   0   0 108
13    0   0   0 180  98   0   0   0  12
14    0   0   0 180 180   0   0   0  26
15    0   0   0 180 172   0   0   0  40
16    0   0   0 180  49   0   0   0   0
17    0   0   0  53  53   0   0   0   0
18   39   0   0  39  88   0   0   0   0
19   39   0   0  56  76   0   0   0   0
20   39   0   0  13 148   0   0   0   0
21   39   0   0  17   0   0   0   0   0
22   39   0   0   9   0   0   0   0   0
23   10   0   0  10   0   0   0   0   0
24   10   0   0  17   0   0   0   0   0
25   10   0   0   0   0   0   0   0   0
26   10   0   0   0   0   0   0   0   0
27   10   0   0   0   0   0   0   0   0
28   10   0   0   0   0   0   0   0   0
29   10   0   0   0   0   0   0   0   0
