Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   5
2     0   0   0   0   0   0   0   0   7
3     0   0   0   0   0   0   0   0  15
4     0   0   0   0   0   0   0   0  26
5     0   0   0   0   0   0   0   0  54
6     0   0   0   0   0  49   0   0  49
7     0   0   0   0   0 136   0   0  75
8     0   0   0   0   0 180   0   0 122
9     0   0   0   0   0 180   0   0 124
10    0   0   0   0   0 180   0   0 147
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0 180   0 180 180   0   0   0
14    0   0 180   0 180 180   0   0   0
15    0   0 180   0 143 180   0   0   0
16    0   0 180   0 140 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18  180   0 180 180 180 180   0   0   0
19  180   0 180 180 180 180   0   0   0
20  180   0 180 180 180 165   0   0   0
21  180   0 180 152 120 136   0   0   0
22  180   0 180 180 180 180   0   0   0
23   86   0  86 180  91 180   0   0   0
24   91   0 119  91 104 180   0   0   0
25   91   0   0 180 116   0   0   0   0
26   91   0   0 180 113   0   0   0   0
27   91   0   0 180 180   0   0   0   0
28   91   0   0 180 180   0   0   0   0
29  180   0   0 180   0   0   0   0   0
