Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   5
2     0   0   0   0   0   0   0   0  14
3     0   0   0   0   0   0   0   0  17
4     0   0   0   0   0   0   0   0  25
5     0   0   0   0   0   0   0   0  56
6     0   0   0   0   0 150   0   0 150
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0   0 180   0   0 180
13    0   0   0   0   0 180   0   0 180
14    0   0   0   0   0 180   0   0 180
15    0   0   0   0   0 180   0   0 180
16    0   0   0   0   0 180   0   0 123
17    0   0 123   0 123 123   0   0 180
18    0   0 180   0 150 129   0   0 180
19    0   0 144   0 180   0   0   0 180
20    0   0 117   0 180   0   0   0 180
21    0   0 180   0  44   0   0   0 180
22    0   0  52   0  10  10   0   0 180
23   10   0   8   0   8  22   0   0 180
24   10   0   7   0   6  32   0   0 180
25   10   0   2   0  12   7   0   0 180
26   10   0   4   0   6   8   0   0 164
27   10   0   7   0   9   9   9   0  20
28    9   0  16   0  20  20  17   0  30
29    9   0  23   0  18  15  21   0  18
