Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   2
2     0   0   0   0   0   0   0   0   7
3     0   0   0   0   0   0   0   0  15
4     0   0   0   0   0   0   0   0  29
5     0   0   0   0   0   0   0   0  58
6     0   0   0   0   0 133   0   0 133
7     0   0   0   0   0 107   0   0 180
8     0   0   0   0   0 175   0   0 180
9     0   0   0   0   0 149   0   0 180
10    0   0   0   0   0 163   0   0 180
11    0   0   0   0   0 180   0   0  81
12    0   0   0   0  81  81   0   0 170
13    0   0   0   0  47 122   0   0 180
14    0   0   0   0  28 180   0   0 180
15    0   0   0   0  44 180   0   0   0
16    0   0   0   0  86  89   0   0   0
17    0   0   0   0  74   0   0   0   0
18    0   0 144   0 144   0   0   0   0
19    0   0 170   0 180   0   0   0   0
20    0   0 180   0 180   0   0   0   0
21    0   0 180   0 143   0   0   0   0
22    0   0 165   0   0   0   0   0   0
23    0   0  94   0 141   0   0   0   0
24  141   0 141   0 180   0   0   0   0
25  141   0  88   0 180   0   0   0   0
26  141   0 122   0 180   0   0   0   0
27  141   0 109   0 177   0   0   0   0
28  141   0  55   0  44  44  44   0   0
29   44   0  33   0  33  58  40   0   0
