Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  28
3     0   0   0   0   0   0   0   0  72
4     0   0   0   0   0   0   0   0 130
5     0   0   0   0   0   0   0   0 122
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 174   0   0 180
9     0   0   0   0   0 179   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0 180 180   0   0 180
13    0   0   0   0 180 180   0   0  79
14    0   0   0   0 180 180   0   0 137
15    0   0   0   0 180 180   0   0   0
16    0   0   0   0 180 180   0   0   9
17    0   0   9   0 180   9   0   0  17
18    0   0 180   0 180  13   0   0  38
19    0   0 180   0 167   0   0   0  79
20    0   0 180   0 180   0   0   0 180
21    0   0 180   0 180   0   0   0 180
22    0   0 180   0 180 180 180   0 180
23  180   0 180   0 180 180 110   0 180
24  180   0 180   0 180 180 156   0 180
25  180   0 156   0 137 180 180   0 180
26  180   0 180   0 180 101 180   0 180
27  180   0   0   0   0 180 180   0 180
28  180   0 180   0 180 180  73   0   0
29  180   0 180   0 180 180  76   0   0
