Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  16
3     0   0   0   0   0   0   0   0  33
4     0   0   0   0   0   0   0   0  51
5     0   0   0   0   0   0   0   0 102
6     0   0   0   0   0   0   0   0 126
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 180
11    0   0   0   0   0   0   0   0 180
12    0   0   0   0   0   0   0   0 180
13    0   0   0   0   0   0   0   0  61
14    0   0   0   0   0   0   0   0 118
15    0   0   0   0   0   0   0   0 108
16    0   0   0   0 180   0   0   0 180
17    0   0   0   0 180   0   0   0   0
18    0   0   0   0 180   0   0   0   0
19    0   0   0   0 180   0   0   0   0
20    0   0   0   0 180   0   0   0   0
21    0   0   0   0 180   0   0   0   0
22    0   0   0 143 143   0   0   0   0
23    0   0   0  43 133   0   0   0   0
24    0   0   0  29 180   0   0   0   0
25    0   0   0  45   0   0   0   0   0
26    0   0   0  67   0   0   0   0   0
27    0   0   0 111   0   0   0   0   0
28  111   0   0 111   0   0   0   0   0
29  111   0   0  44   0   0   0   0   0
