Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   5
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0   3
4     0   0   0   0   0   0   0   0   4
5     0   0   0   0   0   0   0   0   6
6     0   0   0   0   0   6   0   0   6
7     0   0   0   0   0  19   0   0   5
8     0   0   0   0   0  29   0   0  10
9     0   0   0   0   0  81   0   0  10
10    0   0   0   0   0 167   0   0  10
11    0   0   0   0   0  18   0   0  18
12    0   0  55   0  55  55   0   0  28
13    0   0  32   0  74 131   0   0   0
14    0   0  50   0 133 180   0   0   0
15    0   0  33   0 168 180   0   0   0
16    0   0  46   0 180 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18  180   0 180 180 180 180   0   0   0
19  180   0 180 180 180  87   0   0   0
20  180   0 180 180 117 180   0   0   0
21  180   0 127 180 180 180   0   0   0
22  180   0 180 180 180 180   0   0   0
23  180   0 180 180 180 180   0   0   0
24  180   0 180 180 180 180   0   0   0
25  180   0 180 167 180 180   0   0   0
26  180   0   0 180 180   0   0   0   0
27  180   0   0 180 180   0   0   0   0
28  180   0   0 180 180   0   0   0   0
29  180   0   0 180  90   0   0   0   0
