Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   6
2     0   0   0   0   0   0   0   0   5
3     0   0   0   0   0   0   0   0  10
4     0   0   0   0   0   0   0   0  13
5     0   0   0   0   0   0   0   0   9
6     0   0   0   0   0  15   0   0  15
7     0   0   0   0   0  24   0   0  21
8     0   0   0   0   0  51   0   0  38
9     0   0   0   0   0 149   0   0  15
10    0   0   0   0   0 123   0   0   5
11    0   0   0   0   0   8   0   0   8
12    0   0  13   0  13  13   0   0   0
13    0   0  19   0   4  32   0   0   0
14    0   0  43   0   4  33   0   0   0
15    0   0  44   0   6  61   0   0   0
16    0   0  37   0  10 116   0   0   0
17    0   0  48  48  48  48   0   0   0
18   75   0  75  48  81  49   0   0   0
19   75   0 141 109  93  65   0   0   0
20   75   0 180 180 178   0   0   0   0
21   75   0 180 180 180   0   0   0   0
22   75   0 180 180 180   0   0   0   0
23  180   0 141 180 180   0   0   0   0
24  180   0 180 180 180   0   0   0   0
25  180   0   0 180 180   0   0   0   0
26  180   0   0 178 180   0   0   0   0
27  180   0   0 180 180   0   0   0   0
28  180   0   0 180   0   0   0   0   0
29  180   0   0 180   0   0   0   0   0
