Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  22
3     0   0   0   0   0   0   0   0  30
4     0   0   0   0   0   0   0   0  52
5     0   0   0   0   0   0   0   0  80
6     0   0   0   0 167   0   0   0 167
7     0   0   0   0 180   0   0   0 180
8     0   0   0   0 180   0   0   0 180
9     0   0   0   0 151   0   0   0 180
10    0   0   0   0 163   0   0   0   0
11    0   0   0   0 180   0   0   0   0
12    0   0   0 180 180   0   0   0   0
13    0   0   0 180 180   0   0   0   0
14    0   0   0 180 180   0   0   0   0
15    0   0   0 180 180   0   0   0   0
16    0   0   0 165 133   0   0   0   0
17    0   0   0 143 143   0   0   0   0
18  180   0   0 180 180   0   0   0   0
19  180   0   0 180  99   0   0   0   0
20  180   0   0 180 105   0   0   0   0
21  180   0   0 180 125   0   0   0   0
22  180   0   0  84 109   0   0   0   0
23   67   0   0  67 180   0   0   0   0
24   67   0   0 133   0   0   0   0   0
25   67   0   0   0   0   0   0   0   0
26   67   0   0   0   0   0   0   0   0
27   67   0   0   0   0   0   0   0   0
28   67   0   0   0   0   0   0   0   0
29   67   0   0   0   0   0   0   0   0
