Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  30
3     0   0   0   0   0   0   0   0  82
4     0   0   0   0   0   0   0   0  58
5     0   0   0   0   0   0   0   0 143
6     0   0   0   0   0   0 180   0 180
7     0   0   0   0   0   0 178   0 180
8     0   0   0   0   0   0 180   0 180
9     0   0   0   0   0   0 180   0  50
10    0   0   0   0   0   0 180   0 118
11    0   0   0   0   0   0 180   0 180
12    0   0 180   0   0   0 180   0 180
13    0   0 180   0   0   0 127   0 180
14    0   0 180   0   0   0 180   0 180
15    0   0 180   0   0   0 180   0 180
16    0   0 180   0   0   0 180   0   0
17    0   0 180   0 180 180 180   0   0
18  180   0 180   0 180 180 180   0   0
19  180   0 180   0  23 180 180   0   0
20  180   0 180   0  14 165 180   0   0
21  180   0 180   0   9 174   0   0   0
22  180   0 180   0 180 180 180   0 180
23  180   0 180   0 180 180 147   0 180
24  180   0 180   0 180 180 180   0 180
25  180   0 180   0 180 180 180   0 180
26  180   0 180   0 180 180 180   0 180
27  180   0 180   0 180 180 180   0 128
28  180   0 177 180 180 128 177   0 177
29  180   0 180 113 147 180 180   0 180
