Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   5
2     0   0   0   0   0   0   0   0   9
3     0   0   0   0   0   0   0   0  31
4     0   0   0   0   0   0   0   0  52
5     0   0   0   0   0   0   0   0  68
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 155   0   0 180
10    0   0   0   0   0 170   0   0 142
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0  97   0 169  87   0   0   0
14    0   0 161   0 180  33   0   0   0
15    0   0 180   0 180  34   0   0   0
16    0   0 180   0  57  41   0   0  53
17    0   0  53   0  67  67   0   0 123
18   67   0 111   0 111   0   0   0 180
19   67   0 129   0 180   0   0   0 180
20   67   0 180   0 180   0   0   0 180
21   67   0 180   0 180   0   0   0 180
22   67   0 171   0 126   0   0   0 180
23  126   0 180   0 180   0   0   0 180
24  126   0 173   0 180   0   0   0 180
25  126   0   0   0   0   0   0   0 180
26  126   0   0   0   0   0   0   0 180
27  126   0   0   0   0   0   0   0 180
28  126   0   0   0   0   0   0   0 180
29  126   0   0   0   0   0   0   0 180
