Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   3
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0   6
5     0   0   0   0   0   0   0   0   4
6     0   0   0   0   0   0   0   0   7
7     0   0   0   0   0   0   0   0  14
8     0   0   0   0   0   0   0   0  23
9     0   0   0   0   0   0   0   0  42
10    0   0   0   0   0   0   0   0  73
11    0   0   0   0 114   0   0   0 114
12    0   0   0   0 117   0   0   0 180
13    0   0   0   0 104   0   0   0   0
14    0   0   0   0  83   0   0   0   0
15    0   0   0   0 128   0   0   0   0
16    0   0   0   0 180   0   0   0   0
17    0   0   0 180 180   0   0   0   0
18    0   0   0 180 171   0   0   0   0
19    0   0   0 178 180   0   0   0   0
20    0   0   0 180 180   0   0   0   0
21    0   0   0 180 180   0   0   0   0
22    0   0   0 180 180   0   0   0   0
23  180   0   0 180 180   0   0   0   0
24  180   0   0 149   0   0   0   0   0
25  180   0   0 173   0   0   0   0   0
26  180   0   0 180   0   0   0   0   0
27  180   0   0 180   0   0   0   0   0
28  180   0   0 180   0   0   0   0   0
29  180   0   0 180   0   0   0   0   0
