Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  10
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0  12
5     0   0   0   0   0   0   0   0  23
6     0   0   0   0   0  35   0   0  35
7     0   0   0   0   0  64   0   0  43
8     0   0   0   0   0 133   0   0  72
9     0   0   0   0   0 180   0   0 144
10    0   0   0   0   0 180   0   0 160
11    0   0   0   0   0  84   0   0 180
12    0   0 122   0 122 122   0   0 180
13    0   0 180   0  11 180   0   0   0
14    0   0 180   0  21 159   0   0   0
15    0   0 146   0  40 180   0   0   0
16    0   0 170   0  36 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18  180   0 180 180 180 180   0   0   0
19  180   0 180 180 180 180   0   0   0
20  180   0 180 180 180 180   0   0   0
21  180   0 105 180 180 180   0   0   0
22  180   0   0 180 180   0   0   0   0
23  180   0   0  78 180   0   0   0   0
24  180   0   0 180  76   0   0   0   0
25  180   0   0 180 100   0   0   0   0
26  180   0   0 180 153   0   0   0   0
27  180   0   0 180 113   0   0   0   0
28  180   0   0 180   0   0   0   0   0
29   29  29   0  29   0   0   0   0   0
