Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  14
2     0   0   0   0   0   0   0   0  35
3     0   0   0   0   0   0   0   0  96
4     0   0   0   0   0   0   0   0 174
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0   0   0   0 180
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0   0 180   0   0 180
13    0   0   0   0   0 180   0   0 128
14    0   0   0   0   0 180   0   0 180
15    0   0   0   0   0 180   0   0 180
16    0   0   0   0   0 180   0   0 162
17    0   0 162   0 162 162   0   0 180
18    0   0 175   0 122 180   0   0 180
19    0   0 180   0 180 180   0   0 180
20    0   0 180   0 180  32   0   0   0
21    0   0 180   0 180  38   0   0   8
22    0   0   8   0  11  11  11   0  23
23   11   0  11   0  16   9  16   0  66
24   11   0  18   0  28  12  20   0 180
25   11   0  28   0  47  17  21   0 180
26   11   0  13   0  94  19  29   0 180
27   11   0   0   0  80 180  52   0 180
28   11   0  88   0  88 180  18   0 180
29   11   0  64   0  86 180  34   0 180
