Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  19
3     0   0   0   0   0   0   0   0  11
4     0   0   0   0   0   0   0   0  15
5     0   0   0   0   0   0   0   0  12
6     0   0   0   0   0  29   0   0  29
7     0   0   0   0   0  32   0   0  17
8     0   0   0   0   0   9   0   0  45
9     0   0   0   0   0   9   0   0  43
10    0   0   0   0   0  12   0   0  91
11    0   0   0   0   0  11   0   0  10
12    0   0  10   0  10  10   0   0  25
13    0   0  23   0  17   9   0   0  18
14    0   0  20   0  28  13   0   0  42
15    0   0  30   0  37  21   0   0  82
16    0   0  61   0  76  31   0   0  51
17    0   0 140   0 180 180   0   0  83
18  180   0 180   0 180 180   0   0 111
19  180   0 180   0 180 180   0   0  65
20  180   0 180   0 123 180   0   0 133
21  180   0 180   0 162 180   0   0 180
22  180   0  46   0 139 180   0   0 180
23  180   0 179   0 179 169   0   0 180
24  180   0 180   0 180 180   0   0 180
25  180   0 180   0   0 180   0   0 180
26  180   0 180   0   0 176   0   0 180
27  180   0 180   0   0 108   0   0 163
28  180   0 180   0 180 180   0   0 180
29  180   0 180   0  59 180   0   0 180
