Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   4
2     0   0   0   0   0   0   0   0   5
3     0   0   0   0   0   0   0   0   4
4     0   0   0   0   0   0   0   0   3
5     0   0   0   0   0   0   0   0   5
6     0   0   0   0   8   0   0   0   8
7     0   0   0   0  10   0   0   0  14
8     0   0   0   0  13   0   0   0  10
9     0   0   0   0  23   0   0   0  20
10    0   0   0   0  39   0   0   0  34
11    0   0   0   0  56   0   0   0   0
12    0   0   0  57  57   0   0   0   0
13    0   0   0  91  57   0   0   0   0
14    0   0   0 143  84   0   0   0   0
15    0   0   0 105 129   0   0   0   0
16    0   0   0 173   0   0   0   0   0
17    0   0   0 123   0   0   0   0   0
18  148   0   0 148   0   0   0   0   0
19  148   0   0 180   0   0   0   0   0
20  148   0   0 180   0   0   0   0   0
21  148   0   0 159   0   0   0   0   0
22  148   0   0  24   0   0   0   0   0
23   13   0   0  13   0   0   0   0   0
24   13   0   0   0   0   0   0   0   0
25   13   0   0   0   0   0   0   0   0
26   13   0   0   0   0   0   0   0   0
27   13   0   0   0   0   0   0   0   0
28   13   0   0   0   0   0   0   0   0
29   13   0   0   0   0   0   0   0   0
