Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   7
2     0   0   0   0   0   0   0   0   9
3     0   0   0   0   0   0   0   0  12
4     0   0   0   0   0   0   0   0   9
5     0   0   0   0   0   0   0   0  14
6     0  18   0   0  18   0   0   0  18
7     0  20   0   0  15   0   0   0   7
8     0  28   0   0  30   0   0   0  10
9     0  27   0   0  31   0   0   0  16
10    0  38   0   0  60   0   0   0  18
11    0  30   0   0 117   0   0   0  30
12   39  39   0 180 180   0   0   0  45
13   39  46   0 180 180   0   0   0   0
14   39  21   0 180 180   0   0   0   0
15   39  22   0 180 180   0   0   0   0
16   39  44   0 180   0   0   0   0   0
17   39   0   0 180   0   0   0   0   0
18  180   0   0 180   0   0   0   0   0
19  180   0   0 169   0   0   0   0   0
20  180   0   0 147   0   0   0   0   0
21  180   0   0 180   0   0   0   0   0
22  180   0   0 121   0   0   0   0   0
23  180   0   0 180   0   0   0   0   0
24  180   0   0 146   0   0   0   0   0
25  180   0   0   0   0   0   0   0   0
26  180   0   0   0   0   0   0   0   0
27  180   0   0   0   0   0   0   0   0
28  180   0   0   0   0   0   0   0   0
29  180   0   0   0   0   0   0   0   0
