Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  12
2     0   0   0   0   0   0   0   0  15
3     0   0   0   0   0   0   0   0  44
4     0   0   0   0   0   0   0   0 124
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 139   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 130
12    0   0 130   0 130 130   0   0 180
13    0   0 180   0 168 180   0   0   0
14    0   0   2   0 180 180   0   0   0
15    0   0   3   0  91 180   0   0   0
16    0   0   4   0  77  88   0   0  80
17    0   0  80   0  80 155 155   0 170
18  155   0  99   0  99  69 180   0 180
19  155   0 135   0  93 118 180   0 180
20  155   0 180   0  61 180 180   0 180
21  155   0  80   0  72   0 152   0 180
22  155   0  38   0 115  55  55   0 180
23   55   0 180   0 180  95  89   0 180
24   55   0 180   0 180  46  76   0 180
25   55   0 180   0 180  11  78   0 180
26   55   0   0   0   0   6 139   0 180
27   55   0   0   0   0  49 142   0  66
28   55   0  66   0  66  66 180   0 119
29   55   0  92   0  38 126 180   0 160
