Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  14
2     0   0   0   0   0   0   0   0  22
3     0   0   0   0   0   0   0   0  74
4     0   0   0   0   0   0   0   0 150
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0   0   0   0 180
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 174
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 122
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0   0 180   0   0 180
13    0   0   0   0   0 180   0   0 180
14    0   0   0   0   0 180   0   0 180
15    0   0   0   0   0 137   0   0 180
16    0   0   0   0   0 180   0   0 180
17    0   0   0   0 180 180   0   0 180
18    0   0   0   0 119 180   0   0 180
19    0   0   0   0 180 180   0   0 180
20    0   0   0   0 180 180   0   0 180
21    0   0   0   0 180 180   0   0 180
22    0   0 180   0 180 180   0   0 180
23    0   0 180   0 180 180   0   0   0
24    0   0 152   0 117 180   0   0   0
25    0   0 180   0 180   0   0   0   0
26    0   0 180   0 180   0   0   0   0
27    0   0 180   0  55  55  55   0   0
28   55   0  75   0  75 104 101   0   0
29   55   0 108   0   0 180 180   0   0
