Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   6
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0   9
4     0   0   0   0   0   0   0   0  15
5     0   0   0   0   0   0   0   0  16
6     0   0   0   0   0  18   0   0  18
7     0   0   0   0   0  42   0   0  32
8     0   0   0   0   0  35   0   0  44
9     0   0   0   0   0  31   0   0  81
10    0   0   0   0   0  58   0   0  42
11    0   0   0   0   0  74   0   0  74
12    0   0 157   0 157 157   0   0 134
13    0   0  50   0 180 106   0   0 180
14    0   0  58   0 180 166   0   0   0
15    0   0  51   0  47 180   0   0   0
16    0   0  77   0  69 180   0   0   0
17    0   0 102   0 180 180   0   0   0
18  117   0 117   0 180 151   0   0   0
19  117   0 100   0 180 180   0   0   0
20  117   0 120   0 180 180   0   0   0
21  117   0  77   0 180   0   0   0   0
22  117   0 170   0 157   0   0   0   0
23  180   0 180 180 180   0   0   0   0
24  180   0 180 180 172   0   0   0   0
25  180   0 144 180 141   0   0   0   0
26  180   0   0 180  73   0   0   0   0
27  180   0   0 180   0   0   0   0   0
28  180   0   0 180 180   0   0   0   0
29  180   0   0 180  57   0   0   0   0
