Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  16
3     0   0   0   0   0   0   0   0  27
4     0   0   0   0   0   0   0   0  21
5     0   0   0   0   0   0   0   0  46
6     0   0   0   0   0   0   0  65  65
7     0   0   0   0   0   0   0 179  36
8     0   0   0   0   0   0   0 180  69
9     0   0   0   0   0   0   0 180  78
10    0   0   0   0   0   0   0 180 129
11    0   0   0   0 180   0   0 180 180
12    0   0   0   0 180   0   0 180 160
13    0   0   0   0 180   0   0 128   0
14    0   0   0   0 106   0   0 180   0
15    0   0   0   0 180   0   0 180   0
16    0   0   0   0 180   0   0 180   0
17    0   0   0 180 180   0   0 180   0
18    0   0   0 180 180   0   0 164   0
19    0   0   0 180 180   0   0 180   0
20    0   0   0 155 180   0   0  67   0
21    0   0   0  40 166   0   0 170   0
22    0   0   0  85 180   0   0 180   0
23  173   0   0 173 180   0   0 145   0
24  173   0   0 174 152   0   0   0   0
25  173   0   0 180 180   0   0   0   0
26  173   0   0 180   0   0   0   0   0
27  173   0   0 180   0   0   0   0   0
28  180   0   0 180   0   0   0   0   0
29  180   0   0  98   0   0   0   0   0
