Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   6
2     0   0   0   0   0   0   0   0  11
3     0   0   0   0   0   0   0   0  22
4     0   0   0   0   0   0   0   0  38
5     0   0   0   0   0   0   0   0  53
6     0   0   0   0   0  79   0   0  79
7     0   0   0   0   0 180   0   0  95
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0 180   0 143 180   0   0 180
14    0   0 169   0  25 180   0   0   0
15    0   0 180   0  16 180   0   0   0
16    0   0 175   0  15 180   0   0   0
17    0   0 180   0 180 180   0 180   0
18  180   0 180   0 180 180   0 174   0
19  180   0 180   0 180 180   0 180   0
20  180   0 180   0 134 180   0 168   0
21  180   0 180   0 180 180   0 175   0
22  180   0 180   0 180 180   0 180   0
23  166   0 166 180 180 180   0 180   0
24  166   0 160  42 180   0   0 180   0
25  166   0   0  82  51   0   0 180   0
26  166   0   0 154  66   0   0 180   0
27  166   0   0 108 116   0   0 154   0
28  166   0   0 154 180   0   0 180   0
29  180   0   0 180 180   0   0 180   0
