Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  12
2     0   0   0   0   0   0   0   0  28
3     0   0   0   0   0   0   0   0  40
4     0   0   0   0   0   0   0   0  89
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0   0
11    0   0   0   0   0 180   0   0 143
12    0   0   0   0   0 143   0   0 123
13    0   0   0   0   0 180   0   0 180
14    0   0   0   0   0 180   0   0 180
15    0   0   0   0   0 180   0   0 180
16    0   0   0   0   0 180   0   0  95
17    0   0  95   0   0  95   0   0 180
18    0   0 178   0   0   0   0   0 180
19    0   0 180   0   0   0   0   0 180
20    0   0 119   0   0   0   0   0 180
21    0   0 180   0   0   0   0   0 180
22    0   0 135   0 147 147   0   0 180
23  147   0 147   0 180 180   0   0 180
24  147   0 180   0 180 180   0   0 180
25  147   0 180   0 180 180   0   0 180
26  147   0 180   0 180 180   0   0 180
27  147   0 180   0 180 180 180   0 143
28  180   0 143   0 143 143 180   0 180
29  180   0   0   0 180 125 180   0   0
