Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  15
2     0   0   0   0   0   0   0   0  40
3     0   0   0   0   0   0   0   0 125
4     0   0   0   0   0   0   0   0 180
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 162   0   0  97
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0   0
13    0   0 180   0 180 180   0   0   0
14    0   0 180   0 180 180   0   0   0
15    0   0 180   0 180 180   0   0   0
16    0   0 180   0  77 180   0   0   0
17    0   0 180   0 180 106 106   0   0
18  106   0 106   0 180 156 180   0   0
19  106   0 170   0 180 180 180   0   0
20  106   0 180   0 180  60 180   0   0
21  106   0   9   0  67   0 180   0   0
22  106   0  16   0 142   0  31   0   0
23   31  48 168   0 168   0  48   0   0
24   31  84 180   0 180   0  38   0   0
25   31 101 141   0 180   0  46   0   0
26   31 121 141   0 180   0  47   0   0
27   31 180   0   0   0   0  55   0   0
28   31  70   0   0 141   0  70   0   0
29  141 141   0   0 116   0  83   0   0
