Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0   8
3     0   0   0   0   0   0   0   0  13
4     0   0   0   0   0   0   0   0  21
5     0   0   0   0   0   0   0   0  10
6     0   0   7   0   7   0   0   0   7
7     0   0   8   0  12   0   0   0  11
8     0   0  18   0  27   0   0   0  16
9     0   0  43   0  51   0   0   0   9
10    0   0  81   0 116   0   0   0   8
11    0   0   9   0 180   0   0   0   9
12    7   0   7 180 180   0   0   0  12
13    7   0  17 180 180   0   0   0   4
14    7   0  52 180 167   0   0   0   8
15    7   0 119 160 180   0   0   0   7
16    7   0 180 180 172   0   0   0   0
17  180   0 180 180 180   0   0   0   0
18  180   0 180 180 180   0   0   0   0
19  180   0 180 180 180   0   0   0   0
20  180   0 180 180   0   0   0   0   0
21  180   0 180 180   0   0   0   0   0
22  180   0 180 121   0   0   0   0   0
23   88   0 180  88   0   0   0   0   0
24   88   0 180 160   0   0   0   0   0
25   88   0   0 180   0   0   0   0   0
26   88   0   0   0   0   0   0   0   0
27   88   0   0   0   0   0   0   0   0
28   88   0   0   0   0   0   0   0   0
29   88   0   0   0   0   0   0   0   0
