Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   7
2     0   0   0   0   0   0   0   0  10
3     0   0   0   0   0   0   0   0  12
4     0   0   0   0   0   0   0   0  21
5     0   0   0   0   0   0   0   0  45
6     0   0   0   0   0  65   0   0  65
7     0   0   0   0   0 168   0   0  49
8     0   0   0   0   0 180   0   0  77
9     0   0   0   0   0 180   0   0  26
10    0   0   0   0   0 180   0   0  15
11    0   0   0   0   0  17   0   0  17
12    0   0  46   0  46  46   0   0  33
13    0   0  66   0  45  96   0   0  44
14    0   0 153   0  47 180   0   0  44
15    0   0 180   0  66 141   0   0  81
16    0   0 180   0   8 121   0   0   0
17    0   0 180   0  13 180   0   0   0
18  180   0 180   2   2 180   0   0   0
19  180   0 180   6   2 180   0   0   0
20  180   0 146  12   3 180   0   0   0
21  180   0 180  21   1 180   0   0   0
22  180   0 180  66 180 180   0   0   0
23  180   0   0 180 180 152   0   0   0
24  180   0   0 180 180 180   0   0   0
25  180   0   0 180 180   0   0   0   0
26  180   0   0 160 180   0   0   0   0
27  180   0   0 180 180   0   0   0   0
28  180   0   0 180  32   0   0   0   0
29   32   0   0  32  29   0   0   0   0
