Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   3
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0  10
4     0   0   0   0   0   0   0   0  18
5     0   0   0   0   0   0   0   0  26
6     0   0   0   0   0  22   0   0  22
7     0   0   0   0   0  66   0   0  31
8     0   0   0   0   0 158   0   0  37
9     0   0   0   0   0 156   0   0  49
10    0   0   0   0   0 180   0   0  54
11    0   0   0   0   0  51   0   0  51
12    0   0   0   0  96  96   0   0  23
13    0   0   0   0  76 163   0   0   0
14    0   0   0   0 152 180   0   0   0
15    0   0   0   0  68 180   0   0   0
16    0   0   0   0 104 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18    0   0 180 180 180 180   0   0   0
19    0   0 180 180 180 180   0   0   0
20    0   0 180 111 106 180   0   0   0
21    0   0 180 103  88 180   0   0   0
22    0   0 180 180 103 180   0   0   0
23  103   0 103 115 180 180   0   0   0
24  180   0 169 180   0 180   0   0   0
25  180   0 180 180   0 180   0   0   0
26  180   0 180 180   0 180   0   0   0
27  180   0 180 180  57 180   0   0   0
28   57   0  57 180 180   0   0   0   0
29  180   0 124 180 180   0   0   0   0
