Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  14
3     0   0   0   0   0   0   0   0  23
4     0   0   0   0   0   0   0   0  20
5     0   0   0   0   0   0   0   0  13
6     0   0   0   0  22   0   0   0  22
7     0   0   0   0  12   0   0   0  16
8     0   0   0   0  25   0   0   0  27
9     0   0   0   0  24   0   0   0  25
10    0   0   0   0  51   0   0   0  53
11    0   0   0   0  25   0   0   0  64
12    0   0   0   0  28   0   0   0 107
13    0   0   0   0  25   0   0   0 118
14    0   0   0   0  38   0   0   0 141
15    0   0   0   0  68   0   0   0  88
16    0   0   0   0  71   0   0   0   0
17    0   0   0 122 122   0   0   0   0
18    0   0   0 132 158   0   0   0   0
19    0   0   0 177 180   0   0   0   0
20    0   0   0 180   0   0   0   0   0
21    0   0   0  47   0   0   0   0   0
22    0   0   0  98   0   0   0   0   0
23  114   0   0 114   0   0   0   0   0
24  114   0   0 140   0   0   0   0   0
25  114   0   0 180   0   0   0   0   0
26  114   0   0 180   0   0   0   0   0
27  114   0   0  62   0   0   0   0   0
28  112 112   0 112   0   0   0   0   0
29  112 180   0 180   0   0   0   0   0
