Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  28
3     0   0   0   0   0   0   0   0  19
4     0   0   0   0   0   0   0   0  25
5     0   0   0   0   0   0   0   0  72
6     0   0   0   0   0   0   0   0 110
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 171
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0   0  49   0   0 180
13    0   0   0   0   0  68   0   0 180
14    0   0   0   0   0 101   0   0 180
15    0   0   0   0   0  90   0   0 180
16    0   0   0   0   0 137   0   0 100
17    0   0 100   0 100 100   0   0 180
18    0   0 107   0 159 180   0   0 180
19    0   0 180   0 180  56   0   0 180
20    0   0 180   0  86 113   0   0 180
21    0   0 180   0 165  92   0   0 147
22    0   0  83   0  98  98   0   0  93
23   98   0 121   0 121 142   0   0 176
24   98   0 180   0 180  73   0   0 180
25   98   0 180   0  99   0   0   0 180
26   98   0 180   0 180   0   0   0 180
27   98   0 112   0 170 170   0   0 180
28  170   0 170   0 180 164   0   0   0
29  170   0 176   0 180 180   0   0   0
