Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  10
3     0   0   0   0   0   0   0   0  19
4     0   0   0   0   0   0   0   0  28
5     0   0   0   0   0   0   0   0  59
6     0   0   0   0   0   9   0   0   9
7     0   0   0   0   0  13   0   0   8
8     0   0   0   0   0  12   0   0  10
9     0   0   0   0   0  24   0   0  13
10    0   0   0   0   0  25   0   0  16
11    0   0   0   0   0  41   0  46  25
12    0   0  46   0   0  46   0  44   0
13    0   0  58   0   0 133   0  47   0
14    0   0  36   0   0 180   0  80   0
15    0   0  42   0   0  66   0 109   0
16    0   0  75   0   0 153   0  51   0
17    0   0 180   0  64 180   0  64   0
18  180   0 180   0  42 180   0  33   0
19  180   0 177   0  79 180   0  28   0
20  180   0 180   0  58   0   0  15   0
21  180   0 180   0  97   0   0  31   0
22  180   0 180   0  43   0   0  43   0
23  180   0 180  27  27   0   0  33   0
24  180   0 180  50  42   0   0  46   0
25  180   0 146 146  71   0   0   0   0
26  180   0 180 180   7   0   0   0   0
27  180   0   0 101  10   0   0   0   0
28  180   0   0  13  17   0   0   0   0
29   17   0   0  17   0   0   0   0   0
