Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  13
3     0   0   0   0   0   0   0   0  35
4     0   0   0   0   0   0   0   0 102
5     0   0   0   0   0   0   0   0 180
6     0   0   0 180   0   0 180   0 180
7     0   0   0  40   0   0 180   0 180
8     0   0   0  21   0   0 180   0 166
9     0   0   0  18   0   0 180   0 180
10    0   0   0  15   0   0 180   0 171
11    0   0   0 180   0   0 180   0 180
12  180   0 180 180   0   0 180   0 180
13  180   0 180 156   0   0 138   0 180
14  180   0 180   0   0   0 180   0 127
15  180   0 180   0   0   0 142   0 180
16  180   0 180   0   0   0 180   0   0
17  180   0 180   0 180 180 180   0   0
18  180   0 180   0 180 180   0   0   0
19  180   0 180   0 168 176   0   0   0
20  180   0 180   0 180 159   0   0   0
21  180   0 180   0 180 180   0   0   0
22  180   0 100   0 180 180   0   0 180
23  180   0 180  85 180 180   0   0 180
24  180   0 180  51   7 180   0   0 180
25  180   0 180  24   9 180   0   0 180
26  180   0   0  24  17  61   0   0 180
27  180   0   0  20  23  83   0   0 132
28  180   0 132  25 132 132 180   0 180
29    9   0 180   9 101 180 180   0 180
