Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   4
2     0   0   0   0   0   0   0   0   7
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0   8
5     0   0   0   0   0   0   0   0  13
6     0   0   0   0   0  18   0   0  18
7     0   0   0   0   0  48   0   0  22
8     0   0   0   0   0 103   0   0  47
9     0   0   0   0   0 180   0   0  71
10    0   0   0   0   0 180   0   0 113
11    0   0   0   0   0 129   0   0 129
12    0   0   0   0 135 135   0   0 180
13    0   0   0   0  79  65   0   0   0
14    0   0   0   0  52 104   0   0   0
15    0   0   0   0  59 180   0   0   0
16    0   0   0   0  83 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18    0   0 146 180 180 180   0   0   0
19    0   0  26 180 180 180   0   0   0
20    0   0  27 180  91 180   0   0   0
21    0   0  42 180 106 180   0   0   0
22    0   0 180 180 180 180   0   0   0
23  180   0 180 180 180 180 180   0   0
24  180   0 180 180 180   0 118   0   0
25  180   0 180 180 180   0  61   0   0
26  180   0 171 180 180   0  47   0   0
27  180   0 180 180 180   0  93   0   0
28  180   0 180 101 180   0 180   0   0
29  180   0 156 180 180   0 180   0   0
