Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  12
2     0   0   0   0   0   0   0   0  19
3     0   0   0   0   0   0   0   0  36
4     0   0   0   0   0   0   0   0  50
5     0   0   0   0   0   0   0   0 104
6     0   0   0   0  67   0  67   0  67
7     0   0   0   0  41   0  91   0 180
8     0   0   0   0  38   0 180   0 180
9     0   0   0   0  83   0 180   0 180
10    0   0   0   0  51   0 180   0 180
11    0   0   0   0  78   0 180   0 180
12    0   0   0   0  24   0 180   0 180
13    0   0   0   0  29   0 180   0 180
14    0   0   0   0  43   0 180   0 180
15    0   0   0   0  67   0 180   0 180
16    0   0   0   0  36   0 180   0 180
17    0   0 180  73  73   0 180   0 180
18    0   0 180  38  84   0 180   0 180
19    0   0 180  11   0   0 180   0 180
20    0   0 180   5   0   0   0   0   0
21    0   0 180   3   0   0   0   0   0
22    0   0 180   2 180   0   0   0   0
23    2   0 180   2 180   0   0   0   0
24    2   0 180   2 180   0   0   0   0
25    2   0 180   1 155   0   0   0   0
26    2   0 149   1 180   0   0   0   0
27    2   0 180   0 180  62  62   0   0
28   62   0  62 108 108  36 162   0   0
29   62   0 161  12 173  54 162   0   0
