Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  16
3     0   0   0   0   0   0   0   0  26
4     0   0   0   0   0   0   0   0  33
5     0   0   0   0   0   0   0   0  56
6     0   0   0   0   0  55   0   0  55
7     0   0   0   0   0  22   0   0 120
8     0   0   0   0   0  36   0   0  93
9     0   0   0   0   0  26   0   0 144
10    0   0   0   0   0  48   0   0 180
11    0   0   0   0   0 180   0 180 180
12    0   0 180   0   0 180   0 180 180
13    0   0 180   0   0 180   0 180 180
14    0   0 180   0   0 180   0 180 180
15    0   0 180   0   0 180   0 180 161
16    0   0  52   0   0  86   0 180  86
17    0   0 180   0 180 180   0 180   0
18  180   0 180   0 180 180   0 180   0
19  180   0 180   0 100 180   0 180   0
20  180   0 180   0  49 180   0 133   0
21  180   0 180   0  86 180   0 180   0
22  180   0 180   0 103 180   0 103   0
23  180   0 180   0 180 180   0 115   0
24  180   0 134   0 180 180   0 150   0
25  180   0 180   0 143 180   0  79   0
26  180   0   0   0 133 180   0   0   0
27  180   0   0   0 180   0   0   0   0
28  180   0   0 176 176   0   0   0   0
29  180   0   0 180  54   0   0   0   0
