Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  18
3     0   0   0   0   0   0   0   0  13
4     0   0   0   0   0   0   0   0  26
5     0   0   0   0   0   0   0   0  36
6     0   0   0   0  52   0   0   0  52
7     0   0   0   0  14   0   0   0  67
8     0   0   0   0  20   0   0   0 113
9     0   0   0   0  37   0   0   0 141
10    0   0   0   0  73   0   0   0 180
11    0   0   0   0 156   0   0   0 156
12    0   0   0 180 180   0   0   0 136
13    0   0   0 180 180   0   0   0 180
14    0   0   0 180 180   0   0   0   0
15    0   0   0 180 180   0   0   0   0
16    0   0   0 180   0   0   0   0   0
17    0   0   0 125   0   0   0   0   0
18  175   0   0 175   0   0   0   0   0
19  175   0   0 180   0   0   0   0   0
20  175   0   0 180   0   0   0   0   0
21  175   0   0  14   0   0   0   0   0
22  175   0   0  12   0   0   0   0   0
23    4   0   0   4   0   0   0   0   0
24    4   0   0   0   0   0   0   0   0
25    4   0   0   0   0   0   0   0   0
26    4   0   0   0   0   0   0   0   0
27    4   0   0   0   0   0   0   0   0
28    4   0   0   0   0   0   0   0   0
29    4   0   0   0   0   0   0   0   0
