Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  12
2     0   0   0   0   0   0   0   0  31
3     0   0   0   0   0   0   0   0  68
4     0   0   0   0   0   0   0   0 120
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 170   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0  62   0   0  88
12    0   0   0   0  88  88   0   0 180
13    0   0   0   0 144 110   0   0 180
14    0   0   0   0 180  57   0   0 180
15    0   0   0   0 180 127   0   0 180
16    0   0   0   0 180 180   0   0 180
17    0   0 180   0 180 180   0   0 180
18    0   0 180   0 180 180   0   0  53
19    0   0 162   0 180  51   0   0 119
20    0   0 180   0 180  86   0   0 180
21    0   0  84   0 180 180   0   0 180
22    0   0  99   0 170 170   0   0 180
23  170   0 180   0 180   0   0   0   0
24  170   0 128   0 180   0   0   0   0
25  170   0  20   0 180   0   0   0   0
26  170   0  45   0   0   0   0   0   0
27  170   0  96   0 180 180   0   0   0
28  180   0 180   0 180 180   0   0   0
29  180   0 164   0 180 180   0   0   0
