Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   3
2     0   0   0   0   0   0   0   0   4
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0   7
5     0   0   0   0   0   0   0   0   2
6     0   0   0   0   0   3   0   0   3
7     0   0   0   0   0   8   0   0   2
8     0   0   0   0   0  12   0   0   3
9     0   0   0   0   0  24   0   0   5
10    0   0   0   0   0  43   0   0   9
11    0   0   0   0   0   5   0   0   5
12    0   0  16   0  16  16   0   0   4
13    0   0   6   0  31  41   0   0   5
14    0   0   8   0  33 109   0   0  10
15    0   0   5   0  44 180   0   0  15
16    0   0   6   0  16 180   0   0   0
17    0   0 180   0 180 180   0   0   0
18  180   0 180 180 180 180   0   0   0
19  180   0 180 170 180 180   0   0   0
20  180   0 180 180 180 180   0   0   0
21  180   0  78 180 121 180   0   0   0
22  180   0 180 157 180 180   0   0   0
23   55   0  55  38  38 180   0   0   0
24  130   0 107 130  41   0   0   0   0
25  130   0 180 180   0   0   0   0   0
26  130   0 169 180   0   0   0   0   0
27  130   0 180 180   0   0   0   0   0
28  130   0   0 180 180   0   0   0   0
29  180   0   0 180 180   0   0   0   0
