Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  11
2     0   0   0   0   0   0   0   0  22
3     0   0   0   0   0   0   0   0  43
4     0   0   0   0   0   0   0   0  95
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 125   0   0 125
7     0   0   0   0   0 180   0   0 157
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0 163   0 180 180   0   0 105
14    0   0 180   0 180 180   0   0 179
15    0   0 180   0 180 180   0   0   0
16    0   0 180   0 180 180   0   0   0
17    0   0 180   0 130 180   0   0   0
18  158   0 158   0 175 180   0   0   0
19  158   0 180   0 158 180   0   0   0
20  158   0  68   0 180 180   0   0   0
21  158   0  48   0 180 180   0   0   0
22  158   0 180   0 180 180   0   0   0
23  180   0 180 180 180   0   0   0   0
24  180   0 180 180 180   0   0   0   0
25  180   0 180  93  89   0   0   0   0
26  180   0 118 139 166   0   0   0   0
27  180   0   0 180 180   0   0   0   0
28  180   0   0 180 180   0   0   0   0
29  180   0   0 180 180   0   0   0   0
