Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   7
2     0   0   0   0   0   0   0   0  17
3     0   0   0   0   0   0   0   0  49
4     0   0   0   0   0   0   0   0 122
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0  97   0   0 180
9     0   0   0   0   0 141   0   0 180
10    0   0   0   0   0 137   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0  37   0 180 180   0   0 180
14    0   0  70   0 180 180   0   0   0
15    0   0  73   0 180 180   0   0   0
16    0   0  86   0 180 180   0   0  57
17    0   0  57   0 131 131 131   0 106
18  131   0 180   0 180   0 180   0 179
19  131   0  38   0 143   0 164   0 180
20  131   0  29   0 180   0 141   0 180
21  131   0  47   0 180   0 163   0 180
22  131   0  74   0 141  49 180   0 180
23   49   0  49   0 180  88 180   0 180
24   49   0  38   0 180 132 180   0 180
25   49   0  83   0 180 180 180   0 180
26   49   0  70   0 119 180 180   0 180
27   49   0   0   0   0 180 180   0 161
28   49  80 161   0 161 161  80   0 180
29   49 133 180   0 180 180 144   0 180
