Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   4
2     0   0   0   0   0   0   0   0  12
3     0   0   0   0   0   0   0   0  27
4     0   0   0   0   0   0   0   0  40
5     0   0   0   0   0   0   0   0  72
6     0   0   0   0   0 173   0   0 173
7     0   0   0   0   0 180   0   0 104
8     0   0   0   0   0 180   0   0  76
9     0   0   0   0   0 180   0   0 144
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0   0   0 141 141   0   0 180
13    0   0   0   0 180  60   0   0 101
14    0   0   0   0 180  72   0   0 180
15    0   0   0   0 180  75   0   0 180
16    0   0   0   0 180  80   0   0  91
17    0   0   0   0  91  91   0   0  31
18    0   0  54   0  54 154   0   0  76
19    0   0 118   0  79 180   0   0   0
20    0   0 180   0 161 180   0   0   0
21    0   0  78   0 144 180   0   0   0
22    0   0  97   0  60   0   0   0   0
23    0   0 179   0 166 166   0   0   0
24  166   0 166   0 180 180   0   0   0
25  166   0 136   0 180 180   0   0   0
26  166   0 171   0 137 180   0   0   0
27  166   0 180   0 180 180   0   0   0
28  166   0 180   0 180 180 180   0 180
29  180   0 180   0 180 180 180   0 180
