Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0   9
3     0   0   0   0   0   0   0   0  17
4     0   0   0   0   0   0   0   0  27
5     0   0   0   0   0   0   0   0  33
6     0   0   0   0   0  58   0   0  58
7     0   0   0   0   0 180   0   0 102
8     0   0   0   0   0 180   0   0  85
9     0   0   0   0   0 180   0   0   0
10    0   0   0   0   0 180   0   0   0
11    0   0   0   0   0 180   0   0   0
12    0   0 180   0   0 180   0   0   0
13    0   0  96   0   0 180   0   0   0
14    0   0 180   0   0 180   0   0   0
15    0   0 180   0   0 180   0   0   0
16    0   0 180   0   0 180   0   0   0
17    0   0 148   0 180 180   0   0   0
18  180   0 180   0 180 180   0   0   0
19  180   0 180   0 180 180   0   0   0
20  180   0 180   0 180 180   0   0   0
21  180   0 170   0 180 180   0   0   0
22  180   0 180   0 180 180   0 180   0
23  180   0 180   0 180 180   0 180   0
24  180   0 180   0 180 172   0 141   0
25  180   0  94   0 180 180   0 152   0
26  180   0 109   0 180  99   0 180   0
27  180   0 180   0 180   0   0 127   0
28  180   0   0 127 180   0   0 180   0
29  180   0   0 126 180   0   0 167   0
