Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  12
2     0   0   0   0   0   0   0   0  29
3     0   0   0   0   0   0   0   0  90
4     0   0   0   0   0   0   0   0 180
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0  83
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 101   0   0 101
12    0   0  39  39   0  39   0   0 172
13    0   0  40  71   0  38   0   0 180
14    0   0  74 151   0  39   0   0 180
15    0   0  85 180   0  80   0   0 180
16    0   0 127 165   0 180   0   0 180
17    0   0 180 180  18 109   0   0 180
18  134   0  18 134   9  81   0   0   0
19  134   0  25 180  16  73   0   0   0
20  134   0  47 180  21  92   0   0   0
21  134   0  33 180  42  92   0   0   0
22  134   0  40 159  11 159  25   0   0
23  180   0  25 180  25  50  73   0   0
24  180   0  43 180  38  87 167   0   0
25  180   0  81 110  23 107 106   0   0
26  180   0 145 180  15  41 180   0   0
27  180   0  26  26  13  26  14   0   0
28   54   0  14  54  37  37  37   0   0
29   54   0  14  53  75  24 127   0   0
