Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  17
2     0   0   0   0   0   0   0   0  32
3     0   0   0   0   0   0   0   0  68
4     0   0   0   0   0   0   0   0 101
5     0   0   0   0   0   0   0   0 151
6     0   0   0   0   0 180   0   0 180
7     0   0   0   0   0 180   0   0 180
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 180   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0 180   0  28 180   0   0 119
14    0   0 180   0  44 180   0   0 180
15    0   0 180   0  85 180   0   0 180
16    0   0 180   0  89 180   0   0 180
17    0   0 180   0 180 180 180   0 180
18  180   0  49   0  49 164 124   0 180
19  180   0  88   0  71   0  45   0 180
20  180   0  55   0 124   0  54   0   0
21  180   0  97   0 180   0  52   0   0
22  180   0 141   0 115 115  71   0   0
23  115  35  47   0  47 180  35   0   0
24  115  48  51   0   0 180  53   0   0
25  115  60   0   0   0 180  60   0   0
26  115 104   0   0   0 162 110   0   0
27  115 180   0   0   0 180 164   0 180
28  115 180 180   0 180 180 180   0 180
29  180 180  90   0 180  36 180   0 180
