Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  25
3     0   0   0   0   0   0   0   0   9
4     0   0   0   0   0   0   0   0  14
5     0   0   0   0   0   0   0   0  34
6     0   0   0   0   0   0  57   0  57
7     0   0   0   0   0   0 103   0 113
8     0   0   0   0   0   0  81   0 180
9     0   0   0   0   0   0  19   0 180
10    0   0   0   0   0   0  37   0 180
11    0   0   0   0   0 180 180   0 180
12    0   0   0   0 180 126 180   0 180
13    0   0   0   0 180 118 180   0 180
14    0   0   0   0 180 180 180   0 180
15    0   0   0   0 166 180 180   0 180
16    0   0   0   0  29 180  52   0   0
17    0   0   0 180 141 180 137   0   0
18    0   0 137 180 137 180 180   0   0
19    0   0  95 162 180 171 180   0   0
20    0   0 177 153 180 180 176   0   0
21    0   0 180 180 180 180 180   0   0
22    0   0 180  84  73  84 148   0   0
23  126   0 148 126 148  47   0   0   0
24  180   0 180 119 180  89   0   0   0
25  180   0  98 173   0   0   0   0   0
26  180   0 159 171   0   0   0   0   0
27  180   0 180 180   0   0   0   0   0
28  180   0  84 180 168   0   0   0   0
29  168   0 168 177 145   0   0   0   0
