Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  16
2     0   0   0   0   0   0   0   0  53
3     0   0   0   0   0   0   0   0 125
4     0   0   0   0   0   0   0   0 180
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0   0   0   0 180
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 152
11    0   0   0   0   0 157   0   0 157
12    0   0   0   0   0 144   0   0  38
13    0   0   0   0   0 180   0   0  50
14    0   0   0   0   0 180   0   0  66
15    0   0   0   0   0 180   0   0  60
16    0   0   0   0   0 132   0   0 180
17    0   0 180   0 180 180   0   0  29
18    0   0 180   0 180  86   0   0  57
19    0   0 153   0 180  98   0   0 136
20    0   0 180   0 180 147   0   0 180
21    0   0 180   0 180 180   0   0 180
22    0   0 180   0 180 180 180   0 180
23  180   0 157   0 157 180 180   0 180
24  180   0 167   0 180 180 180   0 180
25  180   0 151   0 180 180 180   0 180
26  180   0 176   0 180 180  95   0 180
27  180   0 180   0 150 150 150   0 180
28  150   0 104   0 104   0 180   0 180
29  150   0 101   0   0   0 180   0 180
