Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  26
3     0   0   0   0   0   0   0   0  75
4     0   0   0   0   0   0   0   0 180
5     0   0   0   0   0   0   0   0 180
6     0   0 180   0   0 180   0   0 180
7     0   0 180   0   0 180   0   0 180
8     0   0 180   0   0 136   0   0 180
9     0   0 180   0   0 102   0   0 180
10    0   0 137   0   0 123   0   0 180
11    0   0  92   0 150  47 150   0  48
12  150   0 150   0  48  48 180   0 145
13  150   0 180   0  89  50 180   0 150
14  150   0 180   0  99  60 180   0 180
15  150   0 178   0 168  50 180   0 140
16  150   0 180   0 180 180 180   0 180
17  180 180 102   0 102   0 180   0 180
18  180 180   0   0  61   0 180   0   0
19  180  58   0   0  77   0 180   0   0
20  180  92   0   0  77   0 180   0   0
21  180 180   0   0 153   0 180   0   0
22  180 180 180   0 180   0 180   0   0
23   67  67 180   0 180   0   0   0   0
24   67 130  69   0 180   0   0   0   0
25   67  74 140   0 180   0   0   0   0
26   67 114 175   0   0   0   0   0   0
27   67 180 180   0 180 180 180   0   0
28  180 165 180   0 180 180 180   0   0
29  180 180 180   0 180 180  75   0   0
