Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  14
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0   9
5     0   0   0   0   0   0   0   0  16
6     0   0   0   0  22   0   0   0  22
7     0   0   0   0  28   0   0   0   8
8     0   0   0   0  23   0   0   0   7
9     0   0   0   0  21   0   0   0   3
10    0   0   0   0  37   0   0   0   2
11    0   0   0   0   2   0   0   0   2
12    0   0   0   3   3   0   0   0   4
13    0   0   0   4   2   0   0   0   6
14    0   0   0   2   4   0   0   0   3
15    0   0   0   3   5   0   0   0   0
16    0   0   0   5  10   0   0   0   0
17    0   0   0   9  21   0   0   0   0
18   12   0   0  12   5   0   0   0   0
19   12   0   0  10   4   0   0   0   0
20   12   0   0  13   8   0   0   0   0
21   12   0   0  24   0   0   0   0   0
22   12   0   0  42   0   0   0   0   0
23   91   0   0  91   0   0   0   0   0
24   91   0   0  68   0   0   0   0   0
25   91   0   0  44   0   0   0   0   0
26   91   0   0  71   0   0   0   0   0
27   91   0   0   0   0   0   0   0   0
28   91   0   0   0   0   0   0   0   0
29   91   0   0   0   0   0   0   0   0
