Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0   5
3     0   0   0   0   0   0   0   0  14
4     0   0   0   0   0   0   0   0  37
5     0   0   0   0   0   0   0   0  79
6     0   0   0   0   0  29   0   0  29
7     0   0   0   0   0  61   0   0  44
8     0   0   0   0   0 101   0   0  47
9     0   0   0   0   0 180   0   0 124
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0 180 180   0   0 180
13    0   0 180   0 180  96   0   0 180
14    0   0 180   0 150 174   0   0 180
15    0   0 180   0 180   0   0   0   0
16    0   0 123   0 100   0   0   0   0
17    0   0 144   0 180 180   0   0   0
18  180   0 167   0 167 180   0   0   0
19  180   0 180   0 180 180   0   0   0
20  180   0 168   0 180 180   0   0   0
21  180   0 145   0 180 180   0   0   0
22  180   0 180   0 180 180   0   0 156
23  180   0 156   0 156 156   0   0 119
24  180   0   0   0 180 180   0   0 180
25  180   0   0   0  69 180   0   0 180
26  180   0   0   0   0  88   0   0 180
27  180   0   0   0   0 179   0   0 180
28  180   0   0   0   0   0   0   0 180
29  180   0   0   0   0   0   0   0 180
