Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0   8
3     0   0   0   0   0   0   0   0   7
4     0   0   0   0   0   0   0   0   5
5     0   0   0   0   0   0   0   0   5
6     0   0   0   0   0   9   0   9   9
7     0   0   0   0   0  23   0   9  10
8     0   0   0   0   0  43   0  14  19
9     0   0   0   0   0 102   0   7  18
10    0   0   0   0   0 180   0  12  19
11    0   0   0   0   0  15   0  15  15
12    0   0  41   0  27  41   0  27  32
13    0   0  54   0  29  40   0  33  35
14    0   0  68   0  23  90   0  51  55
15    0   0 141   0  40 156   0  79  63
16    0   0 180   0  93 180   0 133   0
17    0   0 180   0 180 180   0   0   0
18   48   0  48   0 180 180   0   0   0
19   48   0  50   0 180 180   0   0   0
20   48   0  16   0 180 163   0   0   0
21   48   0  22   0  95 180   0   0   0
22   48   0 124   0 124 124   0   0   0
23   48   0   0 180 180  59   0   0   0
24   48   0   0 111 180  36   0   0   0
25   48   0   0 180 180  96   0   0   0
26   48   0   0 180 180 108   0   0   0
27   48   0   0 180 180   0   0   0   0
28   48   0   0 180   0   0   0   0   0
29  118   0   0 118   0   0   0   0   0
