Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0   7
3     0   0   0   0   0   0   0   0   9
4     0   0   0   0   0   0   0   0  21
5     0   0   0   0   0   0   0   0  58
6     0   0   0   0   0 103   0   0 103
7     0   0   0   0   0 142   0   0 168
8     0   0   0   0   0 180   0   0 180
9     0   0   0   0   0 174   0   0 180
10    0   0   0   0   0 180   0   0 180
11    0   0   0   0   0 180   0   0 180
12    0   0 180   0   0 180   0   0 180
13    0   0 180   0   0 180   0   0 159
14    0   0 180   0   0 180   0   0 180
15    0   0 180   0   0 180   0   0 180
16    0   0 180   0   0 180   0   0 180
17    0   0 180   0 180 180 180   0 180
18  180   0 180   0 162 151 180   0   0
19  180   0 180   0  71  89 180   0   0
20  180   0 105   0  81 117 180   0   0
21  180   0 180   0  83 132 127   0   0
22  180   0 128   0  80  80  80   0   0
23   80   0  80   0  95  58 148   0   0
24   80   0 176   0 176  46 169   0   0
25   80   0 160   0 180  24  98   0   0
26   80   0   0   0 142  44  96   0   0
27   80   0   0   0 151 102 180   0 180
28   80 180 180   0 180 180 180   0 180
29   80 180 169   0 180 180 180   0 180
