Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  20
3     0   0   0   0   0   0   0   0  41
4     0   0   0   0   0   0   0   0  65
5     0   0   0   0   0   0   0   0 125
6     0   0   0   0 180   0   0   0 180
7     0   0   0   0 180   0   0   0 120
8     0   0   0   0  34   0   0   0 158
9     0   0   0   0  56   0   0   0  48
10    0   0   0   0  14   0   0   0  18
11    0   0   0   0  39   0   0   0  39
12    0   0   0  68  68   0   0   0   8
13    0   0   0  64  72   0   0   0  11
14    0   0   0  47 131   0   0   0  23
15    0   0   0  84 180   0   0   0  18
16    0   0   0 131  34   0   0   0  34
17    0   0   0  48  48   0  41   0   0
18   41   0   0  41  54   0  56   0   0
19   41   0   0  89 120   0  39   0   0
20   41   0   0 149 130   0  18   0   0
21   41   0   0 180   0   0  19   0   0
22   41   0   0 180   0   0 179   0   0
23  179   0   0 179 160   0 160   0   0
24  179   0   0 180 180   0 180   0   0
25  179   0   0  98 180   0 180   0   0
26  179   0   0 106 180   0 101   0   0
27  179   0   0   0 180   0  79   0   0
28  179   0   0   0 180   0   0   0   0
29  179   0   0   0 180   0   0   0   0
