Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  13
3     0   0   0   0   0   0   0   0  10
4     0   0   0   0   0   0   0   0  19
5     0   0   0   0   0   0   0   0  30
6     0   0   0   0   0  36   0   0  36
7     0   0   0   0   0  88   0   0  14
8     0   0   0   0   0 180   0   0   8
9     0   0   0   0   0 180   0   0  14
10    0   0   0   0   0 180   0   0  24
11    0   0   0   0   0  44   0   0  44
12    0   0   0   0  43  43   0   0  28
13    0   0   0   0  69  86   0   0  44
14    0   0   0   0  45 149   0   0   0
15    0   0   0   0  75 180   0   0   0
16    0   0   0   0 142 180   0   0   0
17    0   0   0   0 179   0   0   0   0
18    0   0   0 180 180   0   0   0   0
19    0   0   0 180 180   0   0   0   0
20    0   0   0 180 124   0   0   0   0
21    0   0   0 180 180   0   0   0   0
22    0   0   0 180 180   0   0   0   0
23    0   0   0 180 180   0   0   0   0
24  180   0   0 180 180   0   0   0   0
25  180   0   0 180 180   0   0   0   0
26  180   0   0 180  75   0   0   0   0
27  180   0   0 180  23   0   0   0   0
28  180   0   0 180 180   0   0   0   0
29  180   0   0 180 180   0   0   0   0
