Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  11
2     0   0   0   0   0   0   0   0  30
3     0   0   0   0   0   0   0   0 101
4     0   0   0   0   0   0   0   0 180
5     0   0   0   0   0   0   0   0 131
6     0   0   0   0   0 180 180   0 180
7     0   0   0   0   0 180 180   0 180
8     0   0   0   0   0 180 180   0  85
9     0   0   0   0   0 180 180   0 180
10    0   0   0   0   0 180 180   0 180
11    0   0   0   0   0 180 180   0 180
12    0   0 180   0 180 180 180   0   0
13    0   0 180   0 180 180 180   0   0
14    0   0 180   0 180 180 180   0   0
15    0   0 180   0 180 180 180   0   0
16    0   0 150   0  33 180 180   0 180
17    0   0  74   0 180 180 180   0 180
18  180   0 180 180 180 127 180   0 180
19  180   0 180  79 180   0 180   0 170
20  180   0 180  85 180   0 180   0 180
21  180   0 180  93 180   0   0   0 180
22  180   0 180  89 180 180 180   0 180
23  180   0 180 180 180 180 180   0 180
24  174   0 180 174 180 180 180   0 180
25  174   0 180 142 142 123 180   0 180
26  174   0 180  97 180 134 180   0 180
27  174   0 180  83 180 180 180   0 180
28  180   0 180   0 180 180 180   0 180
29  180   0 164   0 180 180  96   0 180
