Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   8
2     0   0   0   0   0   0   0   0  13
3     0   0   0   0   0   0   0   0  13
4     0   0   0   0   0   0   0   0  25
5     0   0   0   0   0   0   0   0   9
6     0   0   0   0  16   0   0   0  16
7     0   0   0   0  30   0   0   0  13
8     0   0   0   0  43   0   0   0  23
9     0   0   0   0  73   0   0   0  25
10    0   0   0   0 147   0   0   0   0
11    0   0   0   0 180   0   0   0   0
12    0   0   0 180 180   0   0   0   0
13    0   0   0 180 137   0   0   0   0
14    0   0   0 180 180   0   0   0   0
15    0   0   0 110 130   0   0   0   0
16    0   0   0 173   0   0   0   0   0
17    0   0   0 180   0   0   0   0   0
18  119   0   0 119   0   0   0   0   0
19  119   0   0 180   0   0   0   0   0
20  119   0   0 118   0   0   0   0   0
21  119   0   0  65   0   0   0   0   0
22  119   0   0  81   0   0   0   0   0
23  134   0   0 134   0   0   0   0   0
24  134   0   0  44   0   0   0   0   0
25  134   0   0  89   0   0   0   0   0
26  134   0   0   0   0   0   0   0   0
27  134   0   0   0   0   0   0   0   0
28  134   0   0   0   0   0   0   0   0
29  134   0   0   0   0   0   0   0   0
