Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  17
3     0   0   0   0   0   0   0   0  21
4     0   0   0   0   0   0   0   0  24
5     0   0   0   0   0   0   0   0  49
6     0   0   0   0  68   0   0   0  68
7     0   0   0   0  53   0   0   0  27
8     0   0   0   0  56   0   0   0  29
9     0   0   0   0  56   0   0   0  18
10    0   0   0   0  94   0   0   0  14
11    0   0   0   0  27   0   0   0  27
12    0   0   0   0  42   0   0   0  54
13    0   0   0   0  75   0   0   0  79
14    0   0   0   0 118   0   0   0  61
15    0   0   0   0 180   0   0   0 130
16    0   0   0   0  67   0   0   0 121
17    0   0   0 152 152   0   0   0   0
18    0   0   0 180   0   0   0   0   0
19    0   0   0 180   0   0   0   0   0
20    0   0   0 180   0   0   0   0   0
21    0   0   0 180   0   0   0   0   0
22    0   0   0 180   0   0   0   0   0
23  180   0   0 180   0   0   0   0   0
24  180   0   0 180   0   0   0   0   0
25  180   0   0 124   0   0   0   0   0
26  180   0   0 107   0   0   0   0   0
27  180   0   0 155   0   0   0   0   0
28  180   0   0 180   0   0   0   0   0
29  180   0   0 180   0   0   0   0   0
