Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   4
2     0   0   0   0   0   0   0   0   6
3     0   0   0   0   0   0   0   0  11
4     0   0   0   0   0   0   0   0  19
5     0   0   0   0   0   0   0   0  26
6     0   0   0   0  16   0   0   0  16
7     0   0   0   0  30   0   0   0  28
8     0   0   0   0  52   0   0   0  43
9     0   0   0   0  62   0   0   0  19
10    0   0   0   0  40   0   0   0  30
11    0   0   0   0  16   0   0   0  16
12    0   0   0  18  18   0   0   0   0
13    0   0   0  24  11   0   0   0   0
14    0   0   0  27  20   0   0   0   0
15    0   0   0  45  29   0   0   0   0
16    0   0   0  20  50   0   0   0   0
17    0   0   0  31   0   0   0   0   0
18   44   0   0  44   0   0   0   0   0
19   44   0   0  71   0   0   0   0   0
20   44   0   0  54   0   0   0   0   0
21   44   0   0  54   0   0   0   0   0
22   44   0   0  28   0   0   0   0   0
23   42   0   0  42   0   0   0   0   0
24   42   0   0  55   0   0   0   0   0
25   42   0   0  38   0   0   0   0   0
26   42   0   0  53   0   0   0   0   0
27   42   0   0  15   0   0   0   0   0
28   17   0   0  17   0   0   0   0   0
29   17   0   0   0   0   0   0   0   0
